Text,Label1,Label2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @wisatasenja Menteri BUMN Pak Erick Thohir menghadiri ""Pertemuan dengan Relawan Jawa Barat"" di Lewis Heritage dimana masyarakat mendukung penuh Pak Erick Thohir, sebagai Capres potensial pilihan rakyat di Pilpres 2024 mendatang. @erickthohir #BangkitBersamaET https://t.co/B1Ri2uvocw",2,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @ArtOfpol Survei Charta Politika Duet Terkuat Pilpres 2024. @ganjarpranowo + @erickthohir Yes Pake Banget ?? https://t.co/qdztAwYA01,3,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,2
"RT @geloraco PDIP: Kalau Mau, Presiden Jokowi Bisa Jadi Cawapres di Pilpres 2024 https://t.co/s5iqZl1uIH",10,1
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
?????? pasti rakyat Kadrunes https://t.co/7gLg4qsFzX https://t.co/s9iKyk74DM,4,2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @MalikAchmad06 Simulasi Pilpres 2024 menempatkan posisi pasangan @ganjarpranowo dan Menteri BUMN Erick Thohir di posisi teratas. @erickthohir #BangkitBersamaET https://t.co/BVL3vyFNmT,3,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @LekMarteg Bu Mega mengingatkan kepala daerah PDIP tak ikut dansa politik jelang Pilpres 2024 Pak @ganjarpranowo manut dan bersikap tegas Pak Ganjar mengaku akan mengurus wilayahnya #JatengGayeng ???????? https://t.co/gBUH2WSMy9,1,2
@Mahmudi32521910 @Dennysiregar7 @simkuringporsea MAIN TIGA KAKI Relawan Ganjar Pranowo Mania (GP Mania) menyatakan akan mendukung Ketua Umum Partai Gerindra Prabowo Subianto dalam kontestasi Pemilihan Presiden (Pilpres) 2024 J I K A Ganjar tak dipilih PDIP menjadi calon presiden (capres) https://t.co/czVJ1zuZip https://t.co/u4nlr0kzql,11,1
"Pengamat ungkap kunci capres bisa menang Pilpres 2024, begini informasi selengkapnya. #Pengamat https://t.co/UyWOO5bpUB",0,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
AHY bertekad Angkat Guru Honorer Jadi PNS #DemokratProRakyat DukungAHY Pimpin Perubahan https://t.co/tjnVQ9BbAb,5,1
"@rustamaji @AchmadAnnama Mantap itu tandanya akan ada pohon beringin baru yg akan tumbuh bersemi, seiring munculnya capres Partai Golkar yg akan memenangkan pilpres 2024",7,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
Pasangan @ganjarpranowo dan @erickthohir adalah yang terbaik untuk pilpres 2024. #BangkitBersamaET.,3,1
Bagi yg tidak selaras masa mereka ya bukan yg kontra ya,0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @Sagita_Star Nama Menteri BUMN @erickthohir dinilai sangat berpotensi menentukan kemenangan pada Pilpres 2024 mendatang. Erick Thohir dinilai mampu mendongkrak suara pasangannya. Sosok Erick Thohir menjadi salah satu cawapres yg paling potensial mendongkrak suara duetnya. #BangkitBersamaET https://t.co/LlxQGgW21r,2,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
@dimashadi1103 @keuangannews_id Korelasi berita kesini kalau nalarmu jalan.. ?? https://t.co/Bj6jqvdRQt https://t.co/9iEiS0pguf,0,2
RT @SartonoHutomo Demokrat: Hasto PDIP yang Bilang Pilpres 2024 Cuma Dua Paslon https://t.co/l4JDQsz0Gb,5,3
RT @Relawananies Ketua DPP Partai Keadilan Sejahtera (PKS) Mardani Ali Sera turut mendengar adanya dugaan upaya penjegalan terhadap Gubernur DKI Jakarta Anies Baswedan untuk maju di Pilpres 2024 mendatang. https://t.co/nmNpGrump5 https://t.co/A9C344y351,4,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @terbucinz DUA TOKOH INI SALING MELENGKAPI DAN SANGAT IDEAL JIKA DISANDINGKAN. Semoga Pak @ganjarpranowo dan Pak @erickthohir bisa disandingkan di pilpres 2024. Sesuai keinginan rakyat Indonesia. https://t.co/pHt4bjGTdh,3,1
"RT @naaoolll Poling terakhir nih gaess, udah nemu cara biar Pak Ganjar dpt banyak vote ?? Siapakah Capres yg K A L A H di Pilpres 2024 ?? Vote & sebarkan ya ??",1,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
@bwinarso99 @ganjarpranowo MAIN TIGA KAKI Relawan Ganjar Pranowo Mania (GP Mania) menyatakan akan mendukung Ketua Umum Partai Gerindra Prabowo Subianto dalam kontestasi Pemilihan Presiden (Pilpres) 2024 J I K A Ganjar tak dipilih PDIP menjadi calon presiden (capres) https://t.co/czVJ1zuZip https://t.co/4QbOf5atdR,11,1
RT @radaraktual Mardani Ali Sera: Wacana 2 Paslon di Pilpres 2024 Harus Dilawan https://t.co/wvjMc3R08H,0,2
"RT @MarahIchsan ""Survei SMRC: PDIP Bisa Menang Pilpres 2024 Bila Ganjar Jadi Capres"" https://t.co/tnFpr2q0cn",1,1
"RT @__RismaWidiono_ Ketua Umum DPP #SahabatGanjar, KH Nahib Shodik menghadiri Istigasah Akbar dan Salawat Akbar untuk @ganjarpranowo Pilpres 2024 di Pondok Pesantren At-Taufiq Al-Istiqlaal, Kecamatan Karangtengah Cianjur, Jumat (23/9/2022). https://t.co/2JUQyCV9Ht https://t.co/mWSClF7ENx",1,1
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"Kalau Demokrat menang Pilpres 2024, AHY janji angkat guru honorer jadi PNS. Seperti era SBY yang telah mengangkat 1,1 juta honorer. #DemokratProRakyat DukungAHY Pimpin Perubahan",5,1
@MarahIchsan @ganjarpranowo MAIN TIGA KAKI Relawan Ganjar Pranowo Mania (GP Mania) menyatakan akan mendukung Ketua Umum Partai Gerindra Prabowo Subianto dalam kontestasi Pemilihan Presiden (Pilpres) 2024 J I K A Ganjar tak dipilih PDIP menjadi calon presiden (capres). https://t.co/czVJ1zuZip https://t.co/EQmw0ZG7Vs,11,1
"Pengamat Beberkan 4 Alasan Duet Anies-AHY Punya Potensi Kuat di Pilpres 2024, Simak! https://t.co/zqHf64jnZh",6,1
"Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/Crgvsg6EJj",0,2
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @gibahnerakabumi Koalisi Indonesia Berantakan? https://t.co/Ln4WacyLkL,0,2
Segenap dukungan dari para kader Demokrat di seluruh Indonesia solid dan siap mendukung AHY di Pilpres 2024. #DemokratProRakyat DukungAHY Pimpin Perubahan,5,1
"RT @yangmi3prnew PDIP pantas merosot, abisnya saling menjatuhkan antar kader https://t.co/ryuFZLZ5LL Klik ?? beritanya https://t.co/M9wy8UcV3P",0,2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
Bisa jadi demikian,0,2
"RT @BentengSumbar Sebut Pilpres 2024 Bakal Ada Kecurangan, SBY Malah Kena Serangan Balik: Jangan-Jangan Kemarin Menang Pemilu Curang? https://t.co/hpFQxZJ2DJ",5,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @03__nakula Ganjar pranowo - Erick Thohir ( GAET) jadi duet terkuat hasil lembaga survei Charta Politika mengalahkan Prabowo - Muhaimin dan Anies - AHY. Wajar jika mereka menang survei dan PilPres 2024 nanti, Keduanya punya kinerja yang baik, anti korupsi dan radikalisme. #BangkitBersamaET https://t.co/pglDMYfqPZ",3,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @abi_sasaLL Banyak masyarakat serta kaum milenial menghendaki maju sebagai CAPRES di Pilpres 2024,mengingat prestasi yg cemerlang. Hal ini bisa trliht ketika PUTRA TERBAIK Jawa Barat menteri BUMN @erickthohir menghadiri Pertemuan dengan Relawan Jawa Barat di Lewis Heritage #BangkitBersamaET https://t.co/J9K3atjRPp",2,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"Sebut Pilpres 2024 Bakal Ada Kecurangan, SBY Malah Kena Serangan Balik: Jangan-Jangan Kemarin Menang Pemilu Curang? https://t.co/hpFQxZJ2DJ",5,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"RT @Rena_mareta Menteri BUMN Pak Erick Thohir menghadiri ""Pertemuan dengan Relawan Jawa Barat"" di Lewis Heritage dimana masyarakat mendukung penuh Pak @erickthohir sebagai Capres potensial pilihan rakyat di Pilpres 2024 mendatang. #BangkitBersamaET https://t.co/qlpRw3KmHo",2,1
"RT @abi_sasaLL Banyak masyarakat serta kaum milenial menghendaki maju sebagai CAPRES di Pilpres 2024,mengingat prestasi yg cemerlang. Hal ini bisa trliht ketika PUTRA TERBAIK Jawa Barat menteri BUMN @erickthohir menghadiri Pertemuan dengan Relawan Jawa Barat di Lewis Heritage #BangkitBersamaET https://t.co/J9K3atjRPp",2,1
"RT @wisatasenja Menteri BUMN Pak Erick Thohir menghadiri ""Pertemuan dengan Relawan Jawa Barat"" di Lewis Heritage dimana masyarakat mendukung penuh Pak Erick Thohir, sebagai Capres potensial pilihan rakyat di Pilpres 2024 mendatang. @erickthohir #BangkitBersamaET https://t.co/B1Ri2uvocw",2,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @okijogjezz Menteri BUMN @erickthohir Kerja cepat Hasil tepat Untung meningkatkan Korupsi di sikat Cerdas Berdedikasi Berintegritas Mengantarkan menjadi calon potensial menjelang pilpres 2024 #BangkitBersamaET https://t.co/ismkZN1eCU,2,1
"RT @__RismaWidiono_ Ketua Umum DPP #SahabatGanjar, KH Nahib Shodik menghadiri Istigasah Akbar dan Salawat Akbar untuk @ganjarpranowo Pilpres 2024 di Pondok Pesantren At-Taufiq Al-Istiqlaal, Kecamatan Karangtengah Cianjur, Jumat (23/9/2022). https://t.co/2JUQyCV9Ht https://t.co/mWSClF7ENx",1,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
RT @GEMPITA2024 Doa Kyai Khos Untuk Kemenangan Probowo Muhaimin Pilpres 2024 ?? ???? ????? ?? ???? ???? @DPP_PKB @Gerindra @EmHasanuddin @MuzaniGerindra @Jazilul_Fawaid @Don_dasco @SyaifulHooda @masfaisolriza @zainul_munas @NjosAziz @purmawan1 https://t.co/brluxTiMZY,9,1
@M45Broo_ Mantap pak Ganjar tetap no 1 sampai pilpres 2024.?? dan menjadi RI 1. Aamiin??,1,1
RT @trustrang Maksudnya rugi ga dapat bagi2 duit? Astaga,0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
Mendukung orang bodoh versi GOOGLE,0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @dianmar93 Ganjar Pranowo berpasangan dengan Erick Thohir di pilpres 2024 bisa menang dan terpilih @ganjarpranowo @erickthohir https://t.co/mdn5QaF0oI,3,1
4 'Dosa' Jokowi yang Dikuliti Kubu AHY dan SBY Jelang Pilpres 2024 https://t.co/mWqnckQo7B https://t.co/rBaOLsdRHH,10,2
Koalisi Indonesia Berantakan?,0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"@kurawa @NajwaShihab Ternyata Anda ahli meramal jg ya ??, ramalin pemenang pilpres 2024 jg dong..",0,3
"RT @patualanggaAsse Mantan Wapres, Jusuf Kalla (JK) menyatakan dukungannya kepada Anies Baswedan untuk maju dalam Pilpres 2024, ia juga yakin Anies memiliki elektabilitas yang mumpuni untuk bersaing dengan calon lainnya. https://t.co/Z2K620Oe3t",4,1
"RT @MarahIchsan ""Survei SMRC: PDIP Bisa Menang Pilpres 2024 Bila Ganjar Jadi Capres"" https://t.co/tnFpr2q0cn",1,1
"RT @ChusnulCh__ Disaat buzzer Anies ga ada hentinya sebar hoax, deklarasi dukungan kpd pak @ganjarpranowo juga ga ada hentinya. Kali ini dari Emak-Emak Militan di Kecamatan Jatiwangi, Kabupaten Majalengka bersama sahabat Ganjar deklarasi Dukung Ganjar di pilpres 2024. Yg benar pilih Ganjar.?? https://t.co/EnIQUYmBe2",1,1
"Airlangga Gandeng Khofifah di Pilpres 2024, Banyak Parpol Gabung KIB https://t.co/CZH6rwWZzY https://t.co/iXrQiqYpNa",13,1
"RT @raibily Jelang pilpres 2024 yang makin deket, lagi rame rang orang pada posting di Twitter para jagoannya masing² Ily sih lbh optimis Indonesia semakin maju kalo pak @ganjarpranowo & @erickthohir jadi penerima tongkat estafet kepemimpinan dari pak @jokowi ???? https://t.co/cpAHN6B1N6",3,1
"RT @OposisiCerdas Jika Benar Bergabung, PKS Akan Kokohkan KIB untuk Usung Paslon di Pilpres 2024 https://t.co/3hDhjas94V",4,1
"RT @Mars_Sahsa PILPRES 2024 HANYA SATU (1) PUTARAN, ANIES MENANG TELAK DI ATAS 60% DARI TIGA PASANGAN LAINNYA... RAKYAT BERDAULAT.... https://t.co/KKVLgYtT00",4,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @03__nakula Ganjar pranowo - Erick Thohir ( GAET) jadi duet terkuat hasil lembaga survei Charta Politika mengalahkan Prabowo - Muhaimin dan Anies - AHY. Wajar jika mereka menang survei dan PilPres 2024 nanti, Keduanya punya kinerja yang baik, anti korupsi dan radikalisme. #BangkitBersamaET https://t.co/pglDMYfqPZ",3,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,2
"RT @03__nakula Ganjar pranowo - Erick Thohir ( GAET) jadi duet terkuat hasil lembaga survei Charta Politika mengalahkan Prabowo - Muhaimin dan Anies - AHY. Wajar jika mereka menang survei dan PilPres 2024 nanti, Keduanya punya kinerja yang baik, anti korupsi dan radikalisme. #BangkitBersamaET https://t.co/pglDMYfqPZ",3,1
"RT @03__nakula Ganjar pranowo - Erick Thohir ( GAET) jadi duet terkuat hasil lembaga survei Charta Politika mengalahkan Prabowo - Muhaimin dan Anies - AHY. Wajar jika mereka menang survei dan PilPres 2024 nanti, Keduanya punya kinerja yang baik, anti korupsi dan radikalisme. #BangkitBersamaET https://t.co/pglDMYfqPZ",3,1
"RT @papuamuslim95 Jika terwujud, duet Gubernur DKI Jakarta Anies Baswedan dan Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) untuk Pemilihan Presiden (Pilpres) 2024 dinilai bakal mendapat dukungan dari tiga politikus senior berpengaruh. https://t.co/J27hPx49Vl",6,1
"RT @CryptoKuta Akademisi Univ.Brawijaya Andy Fefta Wijaya : Menteri BUMN @erickthohir bisa MENJADI tokoh PENENTU kemenangan Pilpres 2024. Tokoh PENDAMPING capres memegang PERAN penting Meningkatkan ELEKTABILITAS. Dari SURVEI,Erick Thohir MAMPU Meningkatkan Elektabilitas. #BangkitBersamaET https://t.co/0lzwImT5is",2,1
"@WartaEkonomi , bukan semata cuma saingan @aniesbaswedan .. Insya Allah @ganjarpranowo lah yg memenangkan pilpres 2024.. https://t.co/boOSL2xaTn",1,1
RT @terbucinz DUA TOKOH INI SALING MELENGKAPI DAN SANGAT IDEAL JIKA DISANDINGKAN. Semoga Pak @ganjarpranowo dan Pak @erickthohir bisa disandingkan di pilpres 2024. Sesuai keinginan rakyat Indonesia. https://t.co/pHt4bjGTdh,3,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @dppbronies "" Bagi siapapun yang masih meributkan, nyinyir dan memfitnah Anies Silahkan cari lawan tanding untuk Anies di pilpres 2024. Rakyat menilai hasil karya, kinerja bukan dengan cemohoaan dan fitnah. Rakyat sudah sangat cerdas. ” Guntur Siregar (Penggagas BroNies) https://t.co/xzxBEwC9gg",4,1
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @mulyana59 Banyak pengamat menilai Cawapres Menteri BUMN @erickthohir paling potensial dari kalangan non-partai, berpotensi raih dukungan maju dalam Pilpres 2024 mendatang. Erick merupakan figur yang sangat tepat untuk melanjutkan estafet kepemimpinan Presiden Jokowi. #BangkitBersamaET https://t.co/kluiroqwtL",2,1
"RT @mahasiswigenz Bohir wan ngibul, pendukung Taliban & oportunis Mulai playing victim kaya si kebo https://t.co/sMSU7MiJtt",4,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
"RT @keuangannews_id Marwan Batubara: Jangan-jangan Pemenang Pilpres 2024, Mendapat Dukungan Konsorsium 303! https://t.co/zFDutPwL2W",0,2
RT @MalikAchmad06 Simulasi Pilpres 2024 menempatkan posisi pasangan @ganjarpranowo dan Menteri BUMN Erick Thohir di posisi teratas. @erickthohir #BangkitBersamaET https://t.co/BVL3vyFNmT,3,1
